mercix,merciy,size,blankx,blanky,heartx,hearty,symbolx,symboly
1453,414,8,996,922,754,293,1450,714
1382,335,8,1299,956,1197,674,1385,535
1140,327,8,332,834,1410,202,1509,522
660,270,8,978,304,899,766,908,875
1184,370,8,349,282,1278,171,1455,630
680,345,8,694,542,1100,370,1630,326
1027,219,8,1368,673,1344,180,1263,793
532,373,8,590,916,956,626,1202,833
566,153,8,362,302,1160,594,482,565
1235,313,8,815,598,703,113,1569,600
1409,561,8,1545,493,890,65,566,540
891,576,8,1440,987,790,702,816,177
869,810,8,1959,515,909,734,641,648
854,725,8,939,737,1407,404,1380,878
581,372,8,1179,311,1388,213,1311,158
1248,598,8,1196,940,1192,762,1288,270
431,198,8,1039,683,695,55,1586,213
1345,650,8,1733,192,1135,784,672,762
1035,593,8,1077,80,1318,282,1386,959
1513,447,8,184,132,996,540,613,435
919,732,8,1527,102,1474,304,524,574
1303,134,8,1464,390,1389,231,1143,852
707,597,8,549,397,1309,296,1196,702
1071,447,8,536,506,969,511,860,341
708,264,8,618,393,1411,520,1523,99
1273,282,8,1197,871,1370,583,838,790
