status,gender1,gender2,age1,age2,couples
2,F,F,23,80,2
2,F,F,23,81,1
2,F,F,23,82,9
2,F,F,23,83,5
2,F,F,23,84,2
2,F,F,23,85,5
2,F,F,23,86,4
2,F,F,23,87,5
2,F,F,23,88,9
2,F,F,23,89,5
2,F,F,23,90,3
2,F,F,23,91,7
2,F,F,23,92,6
2,F,F,23,93,12
2,F,F,23,94,7
2,F,F,23,95,6
2,F,F,23,96,4
2,F,F,23,97,2
2,F,F,23,98,8
2,F,F,23,99,10
2,F,F,23,100,22
2,F,F,23,101,13
2,F,F,23,102,58
2,F,F,23,103,25
2,F,F,23,104,3
2,F,F,23,105,4
2,F,F,23,106,2
2,F,F,23,107,52
2,F,F,23,108,27
2,F,F,23,109,1
2,F,F,23,111,1
2,F,F,23,112,5
2,F,F,23,113,5
2,F,F,24,13,230
2,F,F,24,14,626
2,F,F,24,15,626
2,F,F,24,16,584
2,F,F,24,17,669
2,F,F,24,18,964
2,F,F,24,19,1263
2,F,F,24,20,1668
2,F,F,24,21,2225
2,F,F,24,22,2919
2,F,F,24,23,3988
2,F,F,24,24,5701
2,F,F,24,25,2886
2,F,F,24,26,1596
2,F,F,24,27,1113
2,F,F,24,28,834
2,F,F,24,29,661
2,F,F,24,30,485
2,F,F,24,31,347
2,F,F,24,32,333
2,F,F,24,33,242
2,F,F,24,34,164
2,F,F,24,35,146
2,F,F,24,36,107
2,F,F,24,37,96
2,F,F,24,38,68
2,F,F,24,39,65
2,F,F,24,40,51
2,F,F,24,41,36
2,F,F,24,42,53
2,F,F,24,43,43
2,F,F,24,44,27
2,F,F,24,45,18
2,F,F,24,46,22
2,F,F,24,47,18
2,F,F,24,48,13
2,F,F,24,49,18
2,F,F,24,50,14
2,F,F,24,51,15
2,F,F,24,52,11
2,F,F,24,53,12
2,F,F,24,54,7
2,F,F,24,55,3
2,F,F,24,56,4
2,F,F,24,57,3
2,F,F,24,58,9
2,F,F,24,59,3
2,F,F,24,60,6
2,F,F,24,61,2
2,F,F,24,62,10
2,F,F,24,63,5
2,F,F,24,65,2
2,F,F,24,66,3
2,F,F,24,67,11
2,F,F,24,68,5
2,F,F,24,69,2
2,F,F,24,70,4
2,F,F,24,71,1
2,F,F,24,72,1
2,F,F,24,73,3
2,F,F,24,74,1
2,F,F,24,75,5
2,F,F,24,76,3
2,F,F,24,77,3
2,F,F,24,78,2
2,F,F,24,79,1
2,F,F,24,80,2
2,F,F,24,81,1
2,F,F,24,82,4
